,xp,numberOfQuests,address,proportion,amount
0,14995,141,0x51F6749Dee3510F983C15B7c239CC6df4e4054Ea,0.007077670292428851,141.55340584857703
1,14530,119,0x7c318bfBe63833E7a291e130337652C94C6EE464,0.006858189353050431,137.1637870610086
2,12030,87,0x46f3cC6a1c00A5cD8864d2B92f128196CAE07D15,0.005678184302628815,113.56368605257632
3,11470,97,0x56EbC608fD6B8F8CeF2775a3Ee0DddaEc01A7000,0.005413863171334373,108.27726342668747
4,11240,96,0xa3732fC9d975f9Aa1cfD069C991cDd3714d7c8f8,0.0053053027066955845,106.10605413391168
5,11070,75,0x2e4c4ca65fd9381c7c9E674a2d33F73A8463D652,0.005225062363266915,104.50124726533829
6,10760,66,0xc91fA8bcc82dAAF4Ac4d7A2c150147B19c3C673B,0.0050787417370146345,101.57483474029269
7,10680,98,0xf3b059c887172f2cc52b5e77EE3b2C8B3A32E6eF,0.0050409815754011425,100.81963150802285
8,10630,65,0x06f7DC8d1b9462ceF6fEb13368a7E3974b097F9f,0.0050173814743927105,100.3476294878542
9,10550,126,0x64A6a0743506ed1A763E2723770D7554E89595f6,0.004979621312779218,99.59242625558437
10,10070,120,0x25e58696FBC8eB88301Ee06a57f77d9f0715Ec97,0.0047530603430982685,95.06120686196537
11,9820,76,0xD197509518a20610db751c9A04eb14C3A3a1330A,0.004635059838056107,92.70119676112213
12,9810,75,0x3F903f55f44baBa1097FFc8aAC5de2460726d0be,0.00463033981785442,92.6067963570884
13,9160,65,0x43C24C1B61c243BFbd4330E5849eF51BA39E43Fd,0.004323538504744801,86.47077009489601
14,9085,110,0x6Bc8417F1716dE63445ff73B6eB99Ba949C8b0b1,0.004288138353232152,85.76276706464304
15,9080,71,0x8F75EE357b0a25F6774703604d933c68B30Ba4F5,0.004285778343131309,85.71556686262618
16,8670,71,0x9e0f462259f1f9e4c030a4142fe605f6c3ed1911,0.0040922575148621635,81.84515029724326
17,8450,54,0x0649Cbc3b8037EF705f2DA61E2D72F10e47d0213,0.003988417070425062,79.76834140850123
18,8360,65,0xcB730b834897Ac909FA1070cCEAa58cb0Fd6C117,0.003945936888609883,78.91873777219767
19,8290,61,0xD522FaC937D073F909e14dBE201Adce471d6ae1C,0.003912896747198078,78.25793494396156
20,8210,67,0x9fff4f24a6ab34561690ee2e0d018190c1e71777,0.0038751365855845864,77.50273171169172
21,8150,47,0x9ED7C2bC67Bb08cE4Ea4f76A8029Aa5F4910e6ee,0.0038468164643744676,76.93632928748936
22,8150,46,0x5bE8c6bc76DF0E461F7Bab5d50914De598aFa375,0.0038468164643744676,76.93632928748936
23,8150,46,0xd071c06CbdD013c43db4Cfa14A92630EB7FD04FA,0.0038468164643744676,76.93632928748936
24,7850,52,0x0efA6709eE448Ce04402485746CFAFcE52F74460,0.0037052158583238738,74.10431716647747
25,7785,112,0xEA015D0eE2cC77Ab8006F8B275BC08e0C738f1ff,0.0036745357270129117,73.49071454025824
26,7785,112,0x4012B517B1359CF6C9539720f7910b3534619419,0.0036745357270129117,73.49071454025824
27,7785,112,0xED293F9898F963Fd600bB3F416Eb3124e3Ba8A15,0.0036745357270129117,73.49071454025824
28,7785,112,0x4f1760d0629eF356588C39Ca538F458953036750,0.0036745357270129117,73.49071454025824
29,7785,112,0xaC5D6cb45aE2f01657068ED3189262f9891FDf29,0.0036745357270129117,73.49071454025824
30,7775,111,0xEf62696019e772fa3AeA8C1610ECEc1a3eab2767,0.0036698157068112253,73.3963141362245
31,7775,111,0x8609391C98F3877eB9Af647Dcd3A7620E977532F,0.0036698157068112253,73.3963141362245
32,7775,111,0x8CAAA3238Ad376f8370a9453e8e70b28D521BDf5,0.0036698157068112253,73.3963141362245
33,7750,56,0x6f00c406d32c6bb09d48e78d7cfb7ff96875cb57,0.003658015656307009,73.16031312614018
34,7750,51,0x3785696215704E3b1A48Fea23B6221CEabA20811,0.003658015656307009,73.16031312614018
35,7685,111,0xf4085aC1D4328690c4D146B83DE4E6a40FF4aA04,0.003627335524996047,72.54671049992093
36,7675,110,0x51Eb42E36269807DA1703d1107a73BD4Dd79b748,0.0036226155047943604,72.45231009588721
37,7580,76,0xB60b22dB8Fe55EEFe7Ee165FbA6139caB34fb5F2,0.003577775312878339,71.55550625756679
38,7525,112,0xE3E7620168DF930e62fb8Fd04D6E8049892Eae1D,0.0035518152017690635,71.03630403538126
39,7510,110,0x764cB6F50569C7Dd5d5D5a071C5ec00d1a398970,0.003544735171466534,70.89470342933068
40,7200,52,0x90552Ca53592DfA96C887400DDAB964B2824FF02,0.0033984145452142537,67.96829090428507
41,6870,66,0x439Db283243F6F7B8024Be09aFD994457075743B,0.0032426538785586003,64.85307757117201
42,6650,39,0xD0d9E3505349BC945A414A6EC8fF8bcaDAbF20e3,0.003138813434121498,62.776268682429965
43,6630,58,0x48b576c87e788a762D6f95A456f2A39113b46950,0.003129373393718125,62.587467874362495
44,6500,40,0xbea3A948245e5b037c2682c5d0FeCaf27EB0bF37,0.0030680131310962012,61.36026262192402
45,6410,54,0xecF0d0Fb6db9f0c8c84Fd8A5274d5768574Eaabd,0.0030255329492810228,60.51065898562045
46,6370,51,0xbfBDcBC1cBf3bdfa665E75c899e8B5D219e24AF3,0.003006652868474277,60.13305736948554
47,6360,57,0x376828A07dc3bf2a237a9E1C2EAB2B06459D9daD,0.0030019328482725907,60.038656965451814
48,6350,36,0xe6F7801Fe249D11F0e93f095506CE786921C25Ad,0.0029972128280709043,59.94425656141809
49,6310,51,0x29294763c4968E04389E27A46C0d85d1A0A89f67,0.0029783327472641583,59.56665494528317
50,6270,54,0x50b30CB35a71D9250AF22166b77491B68390B26F,0.0029594526664574123,59.189053329148244
51,6260,61,0x291c11EE930B55A5CFd2E420D34258820b895113,0.002954732646255726,59.09465292511452
52,6170,50,0xd3315eb0faa4849d256475dfff2587a21283950b,0.002912252464440548,58.245049288810954
53,6170,57,0x317f30BD1EEE6CBEc861FFb66055612cc809a27a,0.002912252464440548,58.245049288810954
54,6150,86,0xc5afc3a0f462c5a387393421b6a253204a3be8d2,0.002902812424037175,58.0562484807435
55,6150,47,0x0e60173a62C715B90Ea39Ec5Af6F66eF7166679F,0.002902812424037175,58.0562484807435
56,6150,38,0x7e5c1a665bfd595a8de3ac91dabb37a65db04096,0.002902812424037175,58.0562484807435
57,6120,59,0x12D23991BD8a25333036CF41F44AF6894F2Ca61C,0.0028886523634321154,57.77304726864231
58,6110,51,0x5ce6ffb894853702d47F3bDEF1878D8f9818Aac6,0.002883932343230429,57.67864686460858
59,6050,47,0xDf2013bFE1B697DeB5Fc612980293b68d8b9a39E,0.00285561222202031,57.1122444404062
60,6000,67,0x303cD760680d2a6B474665e8Cf7e99f32D6337dc,0.002832012121011878,56.64024242023756
61,5960,53,0x70E7Cea46839cA3b77a6452bd3f73ab4CaCa5659,0.002813132040205132,56.26264080410264
62,5960,53,0x2cc8E1b08Ef471f139E77DaC84e19e694e1d7B9C,0.002813132040205132,56.26264080410264
